label,text
other,es könnte sich um eine erneute kontamination mit dihydrogenmonoxid handeln. wurden @Die_Gruenen und andere ökoradikale schon darüber informiert? #aufschrei #umweltschutz https://t.co/pHmLWkviAb
other,"Bei der @hasepost in #Osnabrück scheint man ein wirklich widerliches Bild von #Frauen zu haben.
Diese seien ""Hasen"" und Motivation läuft über Minirock und knappes Top.
Die #Gleichberechtigung kotzt gerade im Strahl.
#FrauenSagenNein #Aufschrei #Sexismus #Feminismus 
@anked https://t.co/3ZDWj2tt7J"
other,"In #Deutschland 2022 wieder #Nazigrüße gesendet, während maßlos und unreflektiert gegen #Russland gehetzt wird.
Niemand aus #Politik und #Medien distanziert sich.
Wo bleibt da der #Aufschrei ?
#NotInMyName https://t.co/yyXmvEEgUk"
other,@Cyhra1 @anuschka_ann Warum gibt es keinen #Aufschrei?
other,@DrLuetke @PaulMll06935330 Und kein medialer #Aufschrei!
other,"@SHomburg @Anandathah Und kein medialer #Aufschrei!
Es ist skandalös! https://t.co/iYozT4TXMU"
sexist,"Bitte die allerletzte Generation !!!

Die primären Geschlechtsmerkmale nähern sich da in erschreckenderweise Weise der Hochwasserhose 🥴

Klarer #Aufschrei !

#letzteGeneration https://t.co/EIq5JpyCUc"
other,"Danke für den Thread!

Ich frage mich jeden Tag mehr, wo in diesem bräsigen 🇩🇪 der #Aufschrei hierzu bleibt. 
Bei allen Themen, die dieses Land in die richtige Richtung bringen würden, nur lautes Schweigen und Lippenbekenntnisse.

🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱
#StandwithIsrael
🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱 https://t.co/I0aX5GDhCG"
other,"Die toxische Männlichkeit ist also extrem ungleich verteilt in diesem Krieg. Alice Schwarzer scheint das nicht zu tangieren. Ihre Argumente haben viel mit Unkenntnis zu tun - und sehr wenig mit #Feminismus. Schade, dass sie so viel - auch mediale - Aufmerksamkeit bekommt. 6/6"
sexist,"dieses grassierende Schwulentum resultiert doch aus dem militanten #Feminismus, der #Männerfeindlichkeit, der #Frauenquote, etc. etc."
other,"Wie ernst kann man eine Bank wie die @UBS noch nehmen? Kann, wer so ideologisch denkt, rational agieren? 
Und wie schwach ist die scheinbar „starke Frau“, wenn sie Begriffe in Stellenanzeigen wie „aktiv“ oder „Meinung“ als bedrohlich empfindet?

#UBS #Feminismus #grotesk #surreal https://t.co/9NYCYGjfYM"
other,"https://t.co/O4vCicrR8W

👍Eros erfroren im Babyland👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
other,"""Menschen, die vermutlich in keiner Villa leben, auf keiner Jacht segeln, [...], sorgen sich um den Ruf eines erfolgreichen Schauspielers mehr als um die Gewalt an den Schulen ihrer Kinder oder in der Nachbarschaft.""

#JohnnyDeppAmberHeardTrial #Feminismus
https://t.co/nnPFsbkknu"
other,"Kennt ihr schon diesen Schund? 🤡

Eine Website für #Frauenhasser, #INCEL, #Maskulinisten, Feinde der #Demokratie, #Gleichberechtigung, #Feminismus, #Selbstbestimmung, #Abtreibung, #Parität, #GPG etc. etc. 

WikiMANNia https://t.co/6Ggs5bd0we"
other,"Eine schöne digitale Ausstellung mit Einblicken in den aktivistischen Alltag und in feministische Debatten in #München. Mit dabei u.a. @ASA_Muenchen.  https://t.co/Z7YBhimoDX
#Feminismus"
sexist,"Stephan Brandner: „Die Bundeswehr muss nicht feministischer, familienfreundlicher, diverser werden. NEIN! Die #Bundeswehr muss wieder richtige Armee werden! Wir brauchen in der Bundeswehr mehr toxische Männlichkeit als #Feminismus!“

@StBrandner
https://t.co/yShainZvHl @politwelt"
other,"@woernmuc @detrans_de @Jungle_World #Aufklärung, keine Queer-Feminist*in, wenn schon lesbische Feministin.♀️ #Feminismus von femina (Frau) abgeleitet, steht für Befreiung des weiblichen Geschlechts aus d. gesellschaftlichen #Geschlechterrollen-Zwängen. #Frauenemanzipation = #Frauenbefreiung! https://t.co/MevxJDFxpn"
other,"Weil heute in Wien wieder viel Solidarität in Bewegung gewesen ist 🌹🌞
#Outdoorpädagogik #draußen #bildungunterwegs #blickaufdiewelt #frauenlauf #feminismus #gleichstellung #miteinander #kompetenz #wissen #zukunft #bildung #begeistern #begleiten #bestärken #BildungistZukunft https://t.co/0qQnJqugpv"
other,"Folgeempfehlung am Sonntagmorgen:
Für kluge Beiträge zum Thema #Feminismus, #Frauen, #Grüne Politik in #Münster und #NRW, #ADHS, Gesundheit und mehr, folgt @diekaeferin !"
other,"@ElfieTalime Ein #Feminismus, der toxische Männlichkeit fördert ist kein Feminismus!"
other,"Merkt es euch gut und seht die Doku und sorgt dafür, dass die erzkonservative Rolle rückwärts in die 1950er in Deutschland ausfällt. #Feminismus hört nie auf. https://t.co/8DnLFjOqSQ"
other,"@Ricarda_Lang @Die_Gruenen @ulle_schauws @emilybuening @emiliafester @lucies_ecke @mareikeengels Richtig!! Ich bin eine Frau und möchte über meinen Körper selbst bestimmen, danke Ricarda Lang! Nein zu Impfpflicht!💪💪💪#feminismus #FrauenSagenNein #frauenrechte #meinkörper"
other,"https://t.co/awj5KVnhsK

👍Mit Eros unter Wasser👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
other,"@ElfieTalime @ElfieTalime Du solltest nicht von 
#Feminismus TERFs reden, wenn Du 
keine Ahnung hast! 

Wir müssen uns klar machen, durch toxische Transaktivisten &amp; toxische Transpersonen, 
als reale #MenschenVielfalt in Unfreiheit leben zu müssen! https://t.co/klgR2SyPte"
other,"Vätern den Zugang zu den eigenen Kindern, zu Geburt und Bonding zu verwehren ist KEIN #Feminismus .

Das ist reinste #Misandrie und deffinitiv NICHT wofür Feministinnen stehen.

Feminismus ist inkludierend.
Wir wollen Männer als gleichberechtigte Partner.
#seinichtwierona
#TERFs https://t.co/mkpsJ7tqEC"
other,"übernimmt, und zu Tätern geformt wird.

Für dieses Problem braucht es eine Lösung, da dies eine Entwicklung ist, die enormes Gewaltpotenzial in sich trägt, welches nicht nur für jede Frau, sondern auch für eine offene Gesellschaft nicht zumutbar ist.

#Feminismus #Gewalt #Rap"
other,"Daß diese Texte verabscheuungswürdig sind, muß nicht breit diskutiert werden.

Eine übersehene Problematik, die hier mitschwingt ist, daß hier eine Generation geschaffen wird, welche diese Texte, unreflektiert als “normal”

/1

#Feminismus #Gewalt #GewaltanFrauen https://t.co/lagABws2z9"
other,"#linkelpt in #Thueringen befasst sich mit #linkemeetoo &amp; das ist richtig so! Zum kotzen finde ich, wenn Genossinnen Erfahrungen und Wahrnehmungen abgesprochen werden. #Feminismus ist keine Selbstverständlichkeit, auch hier nicht. Wir haben zu tun!"
sexist,"@Gedankenballon @Fildorn Wenn Feminin mus ist schließt das Männer aus.
Also ist #Feminismus sexistisch 
Wenn ihr damit was anders meint wählt ein anderen Begriff für euer Anliegen 
Feministinnen spielen das Opferspiel um damit ihren Hass und ihre Intoleranz zu begründen
Ich erkenne nur ein Wir gegen Die"
other,"Auch ich mag kein ihr./.wir ABER ich lass mich auch nicht weiter ausgrenzen &amp; verscheißern! Wir sind alle so unfassbar einzigartig, so viele Wörter könnt ihr gar nicht erfinden, um neue, trennende Schubladen zu erzeugen.
#LGBTQ #Humanismus statt #Feminismus 
2/3"
other,"Wenn du im #Bordbistro von 5 „alten weißen Männern“ (Alter: 25-65) eingepfercht wirst, die v Geschäftsausflug kommen, beim dritten Weißbier sind. Du trägst #Minikleid und #HighHeels, weil du auf ne Party fährst. 

Ich sollte mich nicht unwohl fühlen. Tu ich aber. #feminismus"
other,"Marlene Streeruwitz: ""Unsere Leben sind zu kostbar"". Ich bin und bleib überzeugte Marlene Streeruwitz Fan! #feminismus  https://t.co/jg5eITVQ1J"
sexist,"Lesben haben das Patriarchat gegründet und behaupten sie würden es bekämpfen.

#häuslichegewalt #vergewaltigung
#lgbtq #patriarchat #feminismus #FrauenSagenNein
#gewaltgegenfrauen #sexismus #patriarchat #radfem #lesben

Statistik-Quelle: https://t.co/gVFiCLLrwb https://t.co/WbGzT7PX4X"
other,„Frequenzen. Feminismen global“ - Am Wochenende veranstaltet das #GoetheInstitut ein #Festival zu modernen #Feminismen aus aller Welt. Wir waren am Eröffnungsabend dabei. https://t.co/lq39vyOUqF via @berlinerzeitung #Frauen #Kunst #Feminismus
other,"#Feminismus ist eben nicht der Kampf um Gleichberechtigung indem der Mann das Maßstab ist.
Es ist der Kampf um die Befreiung der Frau aus patriarchaler Unterdrückung. 
Wiederhole es gerne. 
#infotweet #Servicetweet"
other,"CN: sexualisierte Gewalt

Achja, wenn euch jemand von sexualisierte Gewalt erzählt, dann glaubt dieser Person.

#sexualisierteGewalt #Feminismus"
other,"Ich finde es extrem Heiss, wenn Die Frau ihr leben bis auf äusserste geniesst, während der Sklave vollgewixt sein sperma aufwischen muss und sein Konto bei jedem Orgasmus sinkt 

#findom #geldherrin #zahlsklave #zahlschwanz #loser #beta #rtgame #kontofick #pussyfree #Feminismus"
other,"@absa23h NA HÖR MAL
Ich liebe alle Frauen #Feminismus
dein misogynes geschwurbel hat hier keinen Platz!"
other,"Noch nicht zur #FrauMachtRecht Tagung angemeldet? Dann aber los! Alle Informationen unter: https://t.co/bYM0XBcTiY 

#staatsexamen #jura #juristin #jurist #feminismus #recht #jurastudium #anwalt #anwältin #rechtswissenschaften #gleichstellung #rechtsanwalt #rechtsanwältin #legal https://t.co/8d9T4840ck"
other,"https://t.co/awj5KVnhsK

👍Grausamer Eros der Ehe👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
sexist,"Männer sollen Frauen ignorieren, bis diese ""Hallo"" sagen. Danach ""darf"" dann der Mann all seine Kreativität, ökonomischen Mittel, Humor, Intelligenz und eine Portion toxische Männlichkeit benutzen, um herauszufinden, was die Frau alles nicht mit ""Nein"" beantwortet. #feminismus"
other,"Bin geg. bezahlten Menstruationsurlaub 🇩🇪, weil solche ggf. körperl. Beschwerden als Arbeitsunfähigkeit gewertet werden können &amp; damit bereits unter d. 6-wöchige Lohnfortzahlung fallen. Es ist bereits gleichberechtigt geregelt
#menstruationsurlaub 
#Gleichberechtigung
#Feminismus"
other,"Ich bin damit aufgewachsen,als Frau generell weniger wert zu sein. meine Eltern haben eine Sekte geleitet,die völlig patriarchal funktioniert. Meine Brüder wurden &amp; werden anders behandelt als meine Schwester und ich. Heute bin ich überzeugte, kämpfende Feministin! #Feminismus 💪"
other,"@WDRinvestigativ @NDRrecherche @KatjaRiedel @sepikow @ChristianBasl ... eben so #Klima-Hysteriker, #Feminismus-Radikalinskis, #Gender|isten, Fake-""Antifaschisten"" ..."
other,"Irgendwie wundert mich in der Bubble hier nichts mehr. Viele hier folgen einfach jeden mit dem Hashtag #Feminismus im Profil. Da rotzt eine etwas über Genderwahn auf Twitter, ich besuche das Profil, 6 meiner Mutuals folgen ihr. Bin kurz davor solchen Mutuals einfach zu entfolgen."
other,#Münster - DER Vorreiter in Sachen #Feminismus https://t.co/gHQ21hsjuk
other,"Sabine Derflingers „Alice Schwarzer“ #franzmagazine 
#SabineDerflinger #interview #AliceSchwarzer #dokumentarfilm #feminismus #filmclub #filmclubbozen #Frauenbewegung 
&gt;&gt; https://t.co/Qcu2gUj4F6 https://t.co/pdERkanJgH"
other,"https://t.co/HcuRtKTe9F

👍Herzblutender Untergang👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
other,"Ich muss Andrea Böhm widersprechen: #FeministischeAussenpolitik mit „weich“ zu assoziieren, reproduziert Geschlechterstereotype. Das sieht FAP nicht vor. Und: FAP schließt Männer ein, auch Kämpfer. So wie Männer grundsätzlich vom #Feminismus profitieren. https://t.co/tL1xzfJsIz"
sexist,"@Ideologierig #Feminismus ist auch zu behaupten Männer hätten alle Privilegien!?

Also auch für #Suizidraten #tödlicheArbeitsunfälle #geringereLebenserwartung
#höhereOpferstatistik ??

Es dir aber total egal ist, weil Du den #empathygap geil findest &amp; eh gilt #menaretrash

#FeminismIsCancer https://t.co/BxYXKNYOyQ"
other,"https://t.co/HcuRtKTe9F

👍Untergang im brutalen Eros👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
other,"@AnaLogica18 @maikestuttgart #Pfuderer's #mansplaining ist doof.🙄
#Feminismus (von femina = Frau abgeleitet), steht für Befreiung des weiblichen Geschlechts aus gesellschaftlichen #Geschlechterrollen-Zwängen. #Frauenemanzipation = #Frauenbefreiung! #SexMatters #SexNotGender #NoSelfID https://t.co/KDqn0OHDlG"
sexist,"@OlivenOlivenOl Welcher von euren Männern hat schminkerfahrung. Wenn sich jetzt hier keine 90% auftun, bin ich aber vom #feminismus enttäuscht. Leute es gibt echt wichtiges."
other,"isso, Keine Frau wer hustlet @ShirinDavid #Feminismus https://t.co/avra2vRJg9"
other,"Es gibt noch viel zu tun. #Feminismus @sophiensaele @goetheinstitut #feminismenGlobal
https://t.co/Q9H6bgfNaT https://t.co/hiqBeHjnox"
other,LÖSUNG um dem #Sexismus in unserer Gesellschaft entgegenzuwirken: alle PatriarchatE gleichstellen und den Doppelstandard in Bezug auf eine Sonderbehandlung aufgrund Herkunft (= tolerieren) von Sexismus aufheben. #Feminismus #Kopftuch #Burkini #Islam #Religion #Religionsfreiheit https://t.co/RGiNf5DzH5
other,"LÖSUNG: BiPoC Sexist*Innen die den #Sexismus Kopftuch &amp;Co fordern, unterstützen -egal ob männlich oder weiblich - mit weißen Sexist*Innen gleichstellen und gemeinschaftlich ächten. #Feminismus #Integration @NancyFaeser #Rassismus https://t.co/RpScaBEOFo"
other,"Das ist die Art von #Feminismus die mir Instagram ständig zeigt, um mir klar zu machen wie tief verankert die #Unterdrückung der Frau von Männern ist. Jetzt habe ich bereits Kontakt mit einigen feste Partner, Freunde, lose Partner, Kollegen, Familienmitglieder gehabt. 1/x https://t.co/rs094Mo3lA"
other,"Solange große Medien wie die @Zeit zum #FemaleICE der @DB_Bahn ""Prosecco für alle"" schreiben, brauchen wir immer noch #Feminismus . 

So sieht Mysogynie in der Praxis nämlich aus. https://t.co/WHOkL4Vokp"
other,"Geschlechterverständnis im 21. Jahrhundert.

#twKita #Feminismus #Brandenburg #MentalLoad #GenderEquality https://t.co/pXh5qIbUHf"
sexist,"@RAGNARisourFate Damit wird nur einmal wieder bestätigt das Feministinnen schmutzig sind und stinken!
#Feminismus"
other,"„Gemeinsam kämpfen“ schreibt Frauen*geschichte: Das Buch über unsere Freundin, die Internationalistin Ellen/Stêrk ist fertig. https://t.co/0iU6JwJ3IY
#Internationalismus #Feminismus #KurdischeFrauenbewegung #Utopie #herstory 
Zu bestellen über: isku@nadir.org https://t.co/ZvkHjFPjUy"
other,"#GesellschaftImDialog ist eine gemeinsame Veranstaltungsreihe mit @GSW_TUDresden|@tudresden_de und @KBSachsen. 

#Freiheit #Gleichheit #Schwesterlichheit #Revolution #Protest #Solidaritaet #Feminismus #Feminism #Empowerment #PolitischeBildung #WissKomm"
other,"Eine Unterhaltung über #Catcalling, #Feminismus und das #Frausein mit Bildern von mir 📸

https://t.co/rRU9prvWw6"
other,"Oder das ich mehr Geld in Hostels ausgebe, um in weiblichen Schlafsäalen zu sein, weil ich mich alleine in gemischten Dorms nicht sicher fühlen kann. #Feminismus"
sexist,"Eine Frau die von Feministinnen angefeindet wird, weil sie meint das Frauen für sich selber Verantwortlich sind.
#feminismus
/2
https://t.co/pIRpeOBVYC"
other,"https://t.co/zb0e7aRAMd

👍Treibeis der Gefühle👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
sexist,"Ich frage mich auch wie man hier von einem #Patriarchat reden kann, wo Frauen trotz höherer Lebenszeit früher Rente bekommen, die von Männern erarbeitet werden muss, die NUR wegen ihres Geschlechts noch NICHT in Rente dürfen.
#sklaverei #sexismus #gleichstellung #feminismus https://t.co/uX8ixrrAZ4"
other,"#DieLINKEbrauchts weil wir für Gleichstellung und gleiche Bezahlung für alle Geschlechter sind.
Die #LINKE steht für #Feminismus und setzt sich konsequent für die #Selbstbestimmung von Frauen ein.
#Femizid und  #GenderPayGap müssen benannt und überwunden werden! https://t.co/KYyx2Jypec"
other,"Feministisch ist er dann, wenn ich mich mit dem Tragen des Burkinis dagegen wehre, meinen Körper durch Verbote vom Patriarchat kontrollieren zu lassen.

#Feminismus #Burkini https://t.co/M2sqW3bNJE"
other,"bei Facebook Anzeigen kann man das Keyword #feminismus nicht angeben, aber keywörter wie “asterix”, “kartoffelbrot” oder “Audi Q7” gibt es"
other,"► Vortrag: Soziale Arbeit im Namen des Herren. Christlich-fundamentalistische und antifeministische Vereinnahmung

Wann? 20.05, 20 Uhr
Wo? Susi-Café Freiburg

Mehr Infos unter:
https://t.co/FU6GA9gveu 

#antifeminismus #feminismus https://t.co/G9tQEp9rUN"
other,"Das hier ist bisher mein miesester Fund des Tages🙈😂 Wer zum Teufel ist dieser Freak? Gehört der einer Sekte an oder so? Oder ist der mit einer Zeitmaschine aus dem Mittelalter gekommen?
#Feminismus #Frauen #Frauensport https://t.co/bHeQmHFJQF"
other,"Ich brauche für meine Seminararbeit eine #Umfrage. Sie handelt von #Feminismus in Zusammenhang mit #Glück. Es würde mich freuen, wenn Sie an der folgenden Umfrage teilnehmen könnten. Das würde mir sehr helfen! Hier ist der Link: https://t.co/0ZN1UFfZM8 via @UmfrageOnline"
other,"HAST DU UNSERE NEUE FOLGE SCHON GEHÖRT? 🎙🔥

Im #podcast ist die Autorin des Buches SÜSS, Ann-Kristin Tlusty (@nouvelle_wagnis), zu Gast. Es geht unter anderem um #feminismus, #sorgearbeit, #pflege, #potenzfeminismus, #männer und #arbeit. ⚖️

👉  https://t.co/UAMV7GP9nn https://t.co/up2auKKsL3"
other,"Weibliche Sexualität sichtbar machen

„Die korrekte, sprachsensible und vielfältige Abbildung der #Vulva bedeutet auch sexuelle Selbstbestimmung und Gleichberechtigung.“ 

von Sina Krüger
bbz Mai/Juni 2022
@GEW_BERLIN 
#Feminismus #Patriarchat https://t.co/lNA4GHRELS"
sexist,"@Tagesspiegel Was ist daran ""rechts"" gegen die ""#woke""-Kultur zu sein, die etwa #Brettspieler oder Leser von oder #Asterix als ""#Rassisten"" verhetzt und mir das islamische #Kopftuch als perfektem Ausdruck von #Feminismus verkaufen will &amp; die stets #Antisemitismus aus #Nahost fördert?
#Musk"
other,"Freier sind Männer, die nicht wissen, ob ihr Gegenüber den Sex überhaupt will, und denen das völlig egal ist.
Das ist Vergewaltigerdenke.
Alle Freier sind Täter.
#Prostitution #Zwangsprostitution #Menschenhandel #NordischesModell #Feminismus https://t.co/tgotjPZ89M"
sexist,"@MonikaHaas5 Und deine Art von #Feminismus stinkt eben auch .
Ebenfalls --Schöner Tag 
Tschüssikowsky"
sexist,"... auch daran, daß viele linke Konzepte bei genauerer Betrachtung genau das Gegenteil des behaupteten Zweckes/Zieles bewirken, wie z. B. der #Feminismus."
other,"""Die Bedürfnisse und Lebensqualitäten weißer Männer waren immer &amp; sind bis heute im Fokus von außenpolitischem Verhalten"" so #KristinaLunz. #feministischeAussenpolitik #feminismus
https://t.co/octe4ft8iv"
sexist,Für #Feminismus und gegen Männer
other,"3-5 Krankentage monatlich bei #Menstruationsbeschwerden

kostenfreie Tampons + Binden in Bildungseinrichtungen + Gefängnissen

#Abtreibung ab 16 ohne Zustimmung der Eltern 

Mutterschutz ab 39. Woche

#Feminismus kommt Deutschen Spanisch vor:
Hashtag #menstruationsurlaub (sic!) https://t.co/ecTsWHLUhY"
other,"So richtig traditionelle CIS-Eltern, die ihren männlichen Nachwuchs ambitioniert zum „richtigen Mann“ erziehen legen ganz emsig den Grundstein dafür, dass ziemlich unschuldige Kinder sich in fragile Arschlöcher verwandeln . #Gender #feminismus #Mann #Frau"
other,"Schade, der Film fing ganz gut an, aber die weitere Reise ist abzusehen. ""Und immer droht das böse Patriarchat! Seht die Verhältnisse, die noch in den 1970ern herrschten!"" Das ist unsere Form der #Propaganda. 😠 #Feminismus #daserste"
other,"Wer es nicht live geschafft hat, unbedingt anhören: @Jayati1609 &amp; @Ricarda_Lang sprechen @boell_stiftung über #FeministEconomy :Fundierte Problemanalyse &amp; Lösungsansätze! Spoiler:#Feminismus in wirtschaftlichen Bereichen ist unabdingbar &amp; beide sind u.a. Für einen #TripsWaiver https://t.co/PBJgJFbsd3"
other,"https://t.co/zb0e7aR2WF

👍Kind, Kegel und der Eros?👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
other,"POV:Beine nicht rasieren weils unangenehm ist und außerdem vollkommen fein Beinbehaarung zu haben - dann aber bei erste Sonnenstrahlen erstmal ""Bikinizone"" rasieren, könnt ja wer sehen dass ich da Haare habe 🙄 
#Feminismus 
Naja versuche weniger streng zu sein generell mit mir"
other,Lol ich weiß noch wie ich durch patriarchale Gewalt vollkommen traumatisiert unter den Hashtag #Feminismus geguckt habe und die eine da dann aufgetaucht ist mit Videos über ihr Aussehen/Gewicht. Da ist mir bewusst geworden wie isoliert man als gewaltbetroffene Frau ist. https://t.co/kaXM8Mz1HM
other,"https://t.co/zb0e7aR2WF

👍Im Treibeis der Gefühle👍

  💘Freiheit durch #Liebe 💘

💥Zerstörung der #Romantik 💥
         #Liebesroman 

Die Königin der Nacht - Saga ...

          😇SCHAMLOS😇

#lesen #lesetipp #bücher #buchtipp  #feminismus #beziehung #hotwife"
sexist,"@Falterhert Feministen: Wir müssen Frauen gleichstellen in Job-Position und Bezahlung.

Auch Feministen: Transfrauen machen den Frauensport kaputt, weil sie ganz klar im Vorteil gegenüber echten Frauen sind. Das gehört verboten.

#doppelstandards #parasitismus #feminismus #sexismus #LGBTQ"
other,"Im neuen #Video der @BasisKirche befragt Theologiestudentin Aylin Passant:innen in #Göttingen zum Thema #Diskriminierung von Frauen am Arbeitsplatz und #Feminismus. Die Antworten seht und hört ihr hier: 
https://t.co/B5PeZIWXA7"
other,"Großartiger Text! Alles an ihm ist wichtig. Er zeigt auch, wie #Klimaschutz, #Feminismus und #Menschenrechte zusammenhängen. Und wie wenig sich Konzerne wie @TotalEnergiesDE  darum scheren. https://t.co/XTwlSSCv6G"
other,". @InsightOlena ist feministische Menschenrechtsaktivistin. Im Interview mit @Missy_Magazine berichtet sie darüber, was der Krieg für den Feminismus und für Frauen in der Ukraine bedeutet: https://t.co/wpLBWngbdX #SupportUkraine #Feminismus"
other,"Kollontai: Ein Leben für die Frauenbefreiung und die Revolution
https://t.co/Ykm5z676ky
Am 31. März 2022 wäre die russische Bolschewikin Alexandra Kollontai 150 Jahre alt geworden. Aber wer war sie?
#Kollontai #Sozialismus #Feminismus #Sowjetunion #Oktoberrevolution"
